PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,SUBP,CONDID,SPCD,SPGRPCD,SEEDLING_COUNT,TPA_UNADJ,IS_MAINTAINED_AREA,IS_PLANTED,CN,PLT_CN,SBP_CN,CND_CN,PREV_PLT_CN
1853030,4,17,3,43,20009,13,1,6918,55,1,74.9652824512,0,,785695557290487,352769644489998,785695550290487,785695545290487,
1797328,4,17,3,111,20065,11,1,762,41,2,149.9305649023,0,2,785696282290487,352769648489998,785696273290487,785696269290487,
1797328,4,17,3,111,20065,12,1,313,41,2,149.9305649023,0,2,785696286290487,352769648489998,785696274290487,785696269290487,
1917561,4,18,4,127,20069,12,2,402,29,1,74.9652824512,0,,785694591290487,352769655489998,785694584290487,785694579290487,
1857771,1,17,3,31,22053,12,1,681,42,1,74.9652824512,1,2,707806168126144,352769673489998,707806160126144,707806153126144,
1852411,4,17,3,31,20032,13,1,6262,54,1,74.9652824512,1,2,707807401126144,352769693489998,707807396126144,707807388126144,
1837449,4,17,3,197,20129,11,1,972,41,13,974.548671865,1,2,707806930126144,352769703489998,707806922126144,707806919126144,
1855673,1,17,3,31,22165,12,1,341,43,1,74.9652824512,0,,491758527126144,352769743489998,491758519126144,491758515126144,
1855673,1,17,3,31,22165,13,1,462,41,1,74.9652824512,0,,491758530126144,352769743489998,491758520126144,491758515126144,
1857910,1,17,3,31,22179,13,3,6918,55,2,149.9305649023,1,2,491758752126144,352769749489998,491758743126144,491758739126144,
1852479,4,17,3,31,20133,11,1,6918,55,122,9145.7644590411,0,,491758932126144,352769757489998,491758924126144,491758922126144,
1796301,4,17,3,97,20087,14,1,320,31,1,74.9652824512,0,2,491759380126144,352769767489998,491759374126144,491759369126144,
1852996,4,17,3,43,20048,12,1,341,43,3,224.8958473535,0,2,491759514126144,352769770489998,491759508126144,491759505126144,
1837445,4,17,3,197,20088,12,1,541,36,1,74.9652824512,0,,491757128126144,352769774489998,491757121126144,491757118126144,
1854651,1,17,3,31,23232,13,1,8739,56,1,74.9652824512,1,1,478150016489998,352769800489998,478150009489998,478150003489998,
1857721,1,17,3,31,21968,14,1,760,43,1,74.9652824512,1,1,478151177489998,352769823489998,478151163489998,478151152489998,
1796331,5,17,3,97,20077,14,1,6918,55,2,149.9305649023,0,2,478151635489998,352769838489998,478151633489998,478151628489998,
1796375,4,17,3,97,20011,14,1,762,41,1,74.9652824512,0,2,478151669489998,352769839489998,478151659489998,478151655489998,
1796375,4,17,3,97,20011,14,1,763,43,1,74.9652824512,0,2,478151670489998,352769839489998,478151659489998,478151655489998,
1796375,4,17,3,97,20011,12,2,544,36,1,74.9652824512,0,2,478151672489998,352769839489998,478151660489998,478151656489998,
1853009,4,17,3,43,20202,12,1,6918,55,41,3073.5765804974,0,,478152053489998,352769848489998,478152043489998,478152040489998,
1467836,1,55,5,59,21546,11,1,6918,55,1,74.9652824512,0,,707804915126144,923687,707804907126144,707804901126144,
1467836,1,55,5,59,21546,14,1,313,41,1,74.9652824512,0,,707804918126144,923687,707804910126144,707804901126144,
1469103,1,55,5,59,22180,11,1,972,41,1,74.9652824512,0,2,785697294290487,923699,785697290290487,785697279290487,
1469103,1,55,5,59,22180,12,1,8738,56,1,74.9652824512,0,2,785697299290487,923699,785697287290487,785697279290487,
1469307,1,55,5,59,22221,13,1,660,43,1,74.9652824512,1,1,942163494290487,924136,942163486290487,942163480290487,
1469307,1,55,5,59,22221,14,1,313,41,1,74.9652824512,0,2,942163495290487,924136,942163487290487,942163480290487,
1852382,4,17,3,31,20041,12,1,752,37,7,524.7569771581,1,2,1287853655290487,352769396489998,1287853648290487,1287853644290487,
1856897,1,17,3,31,23307,13,1,317,32,1,74.9652824512,1,2,785697476290487,352769411489998,785697471290487,785697460290487,
