STATECD,VALUE,MEANING,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
17,1,Southern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
17,2,Claypan,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
17,3,Prairie,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
18,1,Lower Wabash,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
18,2,Knobs,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
18,3,Upland Flats,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
18,4,Northern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
19,1,Northeastern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
19,2,Southeastern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
19,3,Southwestern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
19,4,Northwestern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
20,1,Northeastern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
20,2,Southeastern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
20,3,Western,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
21,1,Eastern,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
21,2,Northern Cumberland,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
21,3,Southern Cumberland,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
21,4,Bluegrass,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
21,5,Pennyroyal,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
21,6,Western Coalfield,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
21,7,Western,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
22,1,North Delta,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
22,2,South Delta,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
22,3,Southwest,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
22,4,Southeast,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
22,5,Northwest,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,1,Washington,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,2,Aroostook,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,3,Penobscot,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
23,4,Hancock,NIMS_2_1,2005-02-24 09:42:34,333,NIMS_PROD_BC,2009-01-27 13:00:17,440
