SAMPLE_NAME,REPORT_YEAR,ATTRIBUTE_NAME,CALCULATION_NAME,ADJUSTMENT_EXPRESSION,REQUIRED_SAMPLE_CONSTRAINT,DOMAIN_TYPE,CN,PSS_CN,PATTR_CN
WasDCUA2022Inv,2022,"Gross total-stem wood volume, live woodland specie","Gross Total-Stem Wood Volume, Live Woodland",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1674775605290487,1490982115290487,1674062052290487
WasDCUA2022Inv,2022,"Top and limb bark wood biomass, live and dead timb","Top and Limb Biomass, Live and Dead Timber Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1490982665290487,1490982115290487,552303677126144
WasDCUA2022Inv,2022,"Gross total-stem wood volume, live and dead timber","Gross Total-Stem Wood Volume, Live and Dead Timber",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676620978290487,1490982115290487,1676618353290487
WasDCUA2022Inv,2022,"Gross total-stem wood volume, live timber species","Gross Total-Stem Wood Volume, Live Timber",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676620980290487,1490982115290487,1676618464290487
WasDCUA2022Inv,2022,"Area of permeable cover, in acres",Proportion Permeable Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1490982656290487,1490982115290487,552303668126144
WasDCUA2021Cur,2021,"Gross total-stem wood volume, live trees","Gross Total-Stem Wood Volume, Live Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676619467290487,1273081777290487,1676618354290487
WasDCUA2021Cur,2021,"Gross total-stem wood volume, live timber species","Gross Total-Stem Wood Volume, Live Timber",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1676619468290487,1273081777290487,1676618464290487
WasDCUA2021FS,2021,Compensatory value,Compensatory Value (iTree),*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1273082048290487,1273081778290487,552303641126144
WasDCUA2021FS,2021,Annual electricity-based carbon emissions avoided,Electricity Carbon Emissions Avoided,*CASE WHEN ee.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN ee.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1273082053290487,1273081778290487,552303646126144
WasDCUA2021FS,2021,Leaf area (iTree),Leaf Area (iTree),*CASE WHEN mtre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN mtre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,MOTHER_TREE,1273082066290487,1273081778290487,552303659126144
WasDCUA2021FS,2021,"Area of herbaceous cover, in acres",Proportion Herbaceous Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1273082072290487,1273081778290487,552303665126144
WasDCUA2021FS,2021,"Area of tree cover, in acres",Proportion Tree Cover,*psc.stratum_subplot_adj_factor,SAMPLED,LAND,1273082077290487,1273081778290487,552303670126144
WasDCUA2021FS,2021,"Sound sawlog wood volume, live sawtimber trees",Sound Sawlog Wood Volume,*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1273082082290487,1273081778290487,552303675126144
WasDCUA2021FS,2021,"Whole-tree carbon content, live and dead trees","Whole-tree Carbon Content, Live and Dead Trees",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1273082088290487,1273081778290487,552303681126144
WasDCUA2021FS,2021,"Gross total-stem wood volume, live and dead woodla","Gross Total-Stem Wood Volume, Live & Dead Woodland",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1674775272290487,1273081778290487,1674062051290487
WasDCUA2021FS,2021,"Sound total-stem wood volume, live woodland specie","Sound Total-Stem Wood Volume, Live Woodland",*CASE WHEN tre.subp = 1 THEN psc.stratum_subplot_adj_factor WHEN tre.subp > 1 THEN psc.stratum_microplot_adj_factor END,SAMPLED,TREE,1674775275290487,1273081778290487,1674062054290487
