SAMPLE_NAME,REPORT_YEAR,DOMAIN_NAME,DOMAIN_TYPE,EXPRESSION,CN,PSS_CN,PDOM_CN
HouTXUA2020All,2020,Nonsampled Land,LAND,id_cond.cond_status_cd=5,1274791921290487,1274790867290487,414427311489998
HouTXUA2020Cur,2020,Urban Forest,LAND,,1274791925290487,1274790868290487,414427308489998
HouTXUA2020Cur,2020,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1274791922290487,1274790868290487,414427309489998
HouTXUA2020FS,2020,Urban Forest,LAND,,1274791934290487,1274790869290487,414427308489998
HouTXUA2020Inv,2020,"Live Tree (5""+)",TREE,id_tree.statuscd=1 AND id_tree.dia>=5,1274791947290487,1274790871290487,417940978489998
HouTXUA2021Cur,2021,Urban Forest,LAND,,1267824881290487,1267824873290487,414427308489998
HouTXUA2021Cur,2021,FIA Forest Land (Any),LAND,id_cond.cond_status_cd=1,1267824880290487,1267824873290487,414427309489998
HouTXUA2021Cur,2021,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1267824884290487,1267824873290487,414427302489998
HouTXUA2021FS,2021,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1302246979290487,1267824874290487,1268170529290487
HouTXUA2021FS,2021,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1267824893290487,1267824874290487,414427302489998
HouTXUA2021Inv,2021,Invasive Plant Species,INVASIVE,,1267824897290487,1267824875290487,414427307489998
HouTXUA2022Cur,2022,"Live Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.statuscd=1 AND id_mother_tree.dia>=5,1491027606290487,1491027591290487,1268166132290487
HouTXUA2022Cur,2022,"Standing Dead Mother Tree (5""+)",MOTHER_TREE,id_mother_tree.dia>=5 AND id_mother_tree.statuscd=2 AND id_mother_tree.standing_dead_cd=1,1491027608290487,1491027591290487,1268170529290487
HouTXUA2022Cur,2022,"Standing Dead Tree (1""+)",TREE,id_tree.dia>=1 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,1491027603290487,1491027591290487,414427303489998
HouTXUA2022FS,2022,Sampled Land,LAND,id_cond.cond_status_cd<5,1491027609290487,1491027592290487,414427310489998
KanMOUA2018Cur,2018,Sampled Land,LAND,id_cond.cond_status_cd<5,742208892290487,742207255290487,414427310489998
KanMOUA2018Cur,2018,"Standing Dead Tree (5""+)",TREE,id_tree.dia>=5 AND id_tree.statuscd=2 AND id_tree.standing_dead_cd=1,742208898290487,742207255290487,414427302489998
KanMOUA2018Inv,2018,Live Seedling,SEEDLING,,742208919290487,742207257290487,414427304489998
