PLOTID,VISIT_NBR,STATECD,UNITCD,COUNTYCD,RETIRED_PLOT,CONDID,FIA_VOLUME_LOCATION_GROUP,COND_STATUS_CD,COND_NONSAMPLE_REASN_CD,FIA_LANDUSE,RESERVCD,OWNGRPCD,OWNCD,PHYSCLCD,STDORGCD,STDORGSP,FLDTYPCD,FLDSZCD,FLDAGE,MAPDEN,CANOPY_CVR_SAMPLE_METHOD_CD,LIVE_CANOPY_CVR_PCT,LIVE_MISSING_CANOPY_CVR_PCT,NBR_LIVE_STEMS,AFFORESTATION_CD,PREV_AFFORESTATION_CD,CHAINING_CD,ITREE_LANDUSE,LAND_COVER_CLASS_CD,PRODUCTIVITY_STATUS,COND_SITECLASS_FLD,DISTURBANCE_CD1,DISTURBANCE_CD2,DISTURBANCE_CD3,DISTURBANCE_YEAR1,DISTURBANCE_YEAR2,DISTURBANCE_YEAR3,TREATMENT_CD1,TREATMENT_CD2,TREATMENT_CD3,TREATMENT_YEAR1,TREATMENT_YEAR2,TREATMENT_YEAR3,CN,PLT_CN,PREV_PLT_CN,INVASIVE_STATUS_CD,INVASIVE_NONSAMPLE_REASON_CD,SITE_CLASS_CD,SITE_CLASS_METHOD,SITE_CLASS_SIT_CN,SITE_INDEX,BALIVE,COVER_CLASS,FOREST_COND_STATUS_CHANGE_CD
1856952,1,17,3,31,23360,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,6,6.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785697540290487,352769468489998,,1.0,,,,,,,3.0,
1856872,1,17,3,31,23278,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,13,13.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785694164290487,352769470489998,,1.0,,,,,,,1.0,
1837453,4,17,3,197,20077,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,11,11.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,942212197290487,352769475489998,,2.0,,,,,,52.2625,1.0,
1837556,4,17,3,197,20028,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,25,25.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,942211585290487,352769476489998,,2.0,,,,,,,1.0,
1852994,4,17,3,43,20200,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,5,5.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,942211451290487,352769480489998,,2.0,,,,,,,3.0,
1852375,4,17,3,31,20046,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,1,1.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,942212755290487,352769488489998,,2.0,,,,,,,9.0,
1795838,4,17,3,89,20052,1,S23LCS,1,,10,1.0,30.0,32.0,21.0,0.0,,709.0,1.0,17.0,1.0,1,80,80.0,,0.0,,0.0,5.0,,1.0,,,,,,,,,,,,,,942211611290487,352769490489998,,1.0,,6.0,1.0,942211620290487.0,42.0,32.724,1.0,
1795828,4,17,3,89,20099,1,S23LCS,2,,15,0.0,40.0,46.0,,,,,,,,1,8,8.0,,0.0,,0.0,4.0,,,,,,,,,,,,,,,,942211060290487,352769492489998,,2.0,,,,,,,3.0,
1796338,4,17,3,97,20009,1,S23LCS,4,,19,0.0,,,,,,,,,,1,0,0.0,,0.0,,0.0,7.0,,,,,,,,,,,,,,,,1092687098290487,352769497489998,,3.0,10.0,,,,,,10.0,
1795842,4,17,3,89,20031,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,10,10.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,942212306290487,352769500489998,,1.0,,,,,,,1.0,
1853026,4,17,3,43,20018,1,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,15,15.0,,0.0,,0.0,4.0,,,,,,,,,,,,,,,,942211761290487,352769502489998,,2.0,,,,,,32.6141,1.0,
1795882,4,17,3,89,20042,1,S23LCS,1,,10,1.0,30.0,32.0,25.0,0.0,,517.0,3.0,33.0,1.0,1,70,70.0,,0.0,,0.0,5.0,,1.0,6.0,,,,,,,,,,,,,942211795290487,352769505489998,,1.0,,6.0,6.0,,,138.8439,1.0,
1915913,5,18,4,89,20043,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,7,7.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,942230683290487,352769509489998,,1.0,,,,,,,3.0,
1852381,4,17,3,31,20021,2,S23LCS,5,2.0,14,,40.0,46.0,,,,,,,,1,6,6.0,,,,,,,,,,,,,,,,,,,,,942082307290487,352769517489998,,,,,,,,,3.0,
1852340,4,17,3,31,20124,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,35,35.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,942083290290487,352769533489998,,2.0,,,,,,,1.0,
1857355,1,17,3,31,23807,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,40,40.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785697015290487,352769541489998,,1.0,,,,,,83.5376,1.0,
1852490,4,17,3,31,20062,1,S23LCS,1,,10,1.0,30.0,32.0,21.0,0.0,,707.0,3.0,43.0,1.0,1,90,90.0,,0.0,,0.0,5.0,,1.0,,12.0,,,9999.0,,,,,,,,,942082815290487,352769546489998,,1.0,,5.0,1.0,942082826290487.0,74.0,101.8687,1.0,
1797301,4,17,3,111,20105,1,S23LCS,1,,10,0.0,40.0,46.0,21.0,0.0,,509.0,3.0,128.0,1.0,1,85,85.0,,0.0,,0.0,8.0,,1.0,,,,,,,,,,,,,,942082536290487,352769564489998,,1.0,,6.0,1.0,942082557290487.0,58.0,226.581,1.0,
1854657,1,17,3,31,23226,2,S23LCS,2,,16,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,,0.0,5.0,,,,,,,,,,,,,,,,785695106290487,352769586489998,,2.0,,,,,,,3.0,
1857019,1,17,3,31,23482,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,8,8.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785695923290487,352769592489998,,2.0,,,,,,,3.0,
1857782,1,17,3,31,22042,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,30,30.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785695959290487,352769600489998,,1.0,,,,,,23.2164,1.0,
1857739,1,17,3,31,21950,3,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,45,45.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785698721290487,352769603489998,,1.0,,,,,,,1.0,
1856929,1,17,3,31,23329,1,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,55,55.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785698785290487,352769611489998,,2.0,,,,,,41.6324,1.0,
1856929,1,17,3,31,23329,2,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,7,7.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785698786290487,352769611489998,,1.0,,,,,,,3.0,
1857337,1,17,3,31,23825,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,15,15.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785697751290487,352769615489998,,1.0,,,,,,,1.0,
1857337,1,17,3,31,23825,1,S23LCS,2,,14,0.0,40.0,46.0,,,,,,,,1,4,4.0,,0.0,,0.0,3.0,,,,,,,,,,,,,,,,785697750290487,352769615489998,,1.0,,,,,,,3.0,
1852353,4,17,3,31,20022,1,S23LCS,5,2.0,20,,40.0,46.0,,,,,,,,1,60,60.0,,,,,,,,,,,,,,,,,,,,,785693711290487,352769618489998,,,,,,,,,1.0,
1852430,4,17,3,31,20065,1,S23LCS,3,,19,0.0,,,,,,,,,,1,0,0.0,,0.0,,0.0,7.0,,,,,,,,,,,,,,,,785698891290487,352769619489998,,2.0,,,,,,,10.0,
1852504,4,17,3,31,20044,2,S23LCS,2,,17,0.0,30.0,32.0,,,,,,,,1,10,10.0,,0.0,,0.0,4.0,,,,,,,,,,,,,,,,785698339290487,352769625489998,,2.0,,,,,,113.5931,1.0,
1837516,4,17,3,197,20168,1,S23LCS,2,,11,0.0,40.0,46.0,,,,,,,,1,0,0.0,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,785693776290487,352769636489998,,2.0,,,,,,,3.0,
1853052,4,17,3,43,20064,1,S23LCS,2,,13,0.0,40.0,46.0,,,,,,,,1,15,15.0,,0.0,,0.0,2.0,,,,,,,,,,,,,,,,785697917290487,352769641489998,,2.0,,,,,,,1.0,
1915150,4,18,4,127,20092,2,S23LCS,2,,17,0.0,40.0,46.0,,,,,,,,1,25,25.0,,0.0,,0.0,6.0,,,,,,,,,,,,,,,,785693825290487,352769654489998,,1.0,,,,,,,3.0,
1917561,4,18,4,127,20069,2,S23LCS,1,,10,0.0,40.0,46.0,24.0,0.0,,701.0,3.0,97.0,1.0,1,90,90.0,,0.0,,0.0,1.0,,1.0,,,,,,,,,,,,,,785694579290487,352769655489998,,1.0,,3.0,1.0,785694592290487.0,103.0,15.3056,1.0,
