DB_VERSION,DESCRIPTION,START_DATE,RETIRED_DATE,IS_ACTIVE
4.0.17,THIS IS RELEASE 17 OF NIMS VERSION 4.0 PROD,2009-12-04 00:00:00,2010-01-08 00:00:00,N
4.0.18,THIS IS RELEASE 18 OF NIMS VERSION 4.0 PROD,2010-01-08 00:00:00,2010-02-05 00:00:00,N
4.0.19,THIS IS RELEASE 19 OF NIMS VERSION 4.0 PROD,2010-02-05 00:00:00,2010-03-05 00:00:00,N
4.0.20,THIS IS RELEASE 20 OF NIMS VERSION 4.0 PROD,2010-03-05 00:00:00,2010-04-02 00:00:00,N
4.0.21,THIS IS RELEASE 21 OF NIMS VERSION 4.0 PROD,2010-04-02 00:00:00,2010-05-16 00:00:00,N
4.0.22,THIS IS RELEASE 22 OF NIMS VERSION 4.0 PROD,2010-05-16 00:00:00,2010-06-04 00:00:00,N
4.0.23,THIS IS RELEASE 23 OF NIMS VERSION 4.0 PROD,2010-06-04 00:00:00,2010-07-04 00:00:00,N
4.0.24,THIS IS RELEASE 24 OF NIMS VERSION 4.0 PROD,2010-07-04 00:00:00,2010-08-06 00:00:00,N
4.0.25,THIS IS RELEASE 25 OF NIMS VERSION 4.0 PROD,2010-08-06 00:00:00,2010-09-09 00:00:00,N
4.0.26,THIS IS RELEASE 26 OF NIMS VERSION 4.0 PROD,2010-09-09 00:00:00,2011-01-04 00:00:00,N
4.0.27,THIS IS RELEASE 27 OF NIMS VERSION 4.0 PROD,2011-01-04 00:00:00,2011-02-04 00:00:00,N
4.0.28,THIS IS RELEASE 28 OF NIMS VERSION 4.0 PROD,2011-02-04 00:00:00,2011-05-26 00:00:00,N
4.0.29,THIS IS RELEASE 29 OF NIMS VERSION 4.0 PROD,2011-05-26 00:00:00,2011-09-19 00:00:00,N
4.0.30,THIS IS RELEASE 30 OF NIMS VERSION 4.0 PROD,2011-09-19 00:00:00,2011-10-14 00:00:00,N
4.0.31,THIS IS RELEASE 31 OF NIMS VERSION 4.0 PROD,2011-10-14 00:00:00,2012-01-23 00:00:00,N
5.1.00,THIS IS NIMS VERSION 5.1 PROD,2012-01-23 00:00:00,2012-05-23 00:00:00,N
5.1.01,THIS IS RELEASE 01 OF NIMS VERSION 5.1 PROD,2012-05-23 00:00:00,2012-10-05 00:00:00,N
6.0.00,THIS IS RELEASE 00 OF NIMS VERSION 6.0 PROD,2012-10-05 00:00:00,2012-11-15 00:00:00,N
6.0.01,THIS IS RELEASE 01 OF NIMS VERSION 6.0 PROD,2012-11-15 00:00:00,2013-03-01 00:00:00,N
6.0.02,THIS IS RELEASE 02 OF NIMS VERSION 6.0 PROD,2013-03-01 00:00:00,2013-06-24 00:00:00,N
6.0.03,THIS IS RELEASE 03 OF NIMS VERSION 6.0 PROD,2013-06-24 00:00:00,2013-09-24 00:00:00,N
6.0.04,THIS IS RELEASE 04 OF NIMS VERSION 6.0 PROD,2013-09-24 00:00:00,2014-02-14 00:00:00,N
6.0.05,THIS IS RELEASE 05 OF NIMS VERSION 6.0 PROD,2014-02-14 00:00:00,2014-04-24 00:00:00,N
6.0.06,THIS IS RELEASE 06 OF NIMS VERSION 6.0 PROD,2014-04-24 00:00:00,2014-09-20 00:00:00,N
6.0.07,THIS IS RELEASE 07 OF NIMS VERSION 6.0 PROD,2014-09-20 00:00:00,2015-05-08 00:00:00,N
6.0.08,THIS IS RELEASE 08 OF NIMS VERSION 6.0 PROD,2015-05-08 00:00:00,2015-09-11 00:00:00,N
6.0.09,THIS IS RELEASE 09 OF NIMS VERSION 6.0 PROD,2015-09-11 00:00:00,2016-06-10 00:00:00,N
6.1.00,THIS IS NIMS VERSION 6.1 PROD,2016-06-10 00:00:00,2016-10-19 00:00:00,N
6.1.01,THIS IS RELEASE 01 of NIMS VERSION 6.1 PROD,2016-10-19 00:00:00,2017-03-03 00:00:00,N
7.0.00,THIS IS NIMS VERSION 7.0 PROD,2017-03-03 00:00:00,2018-02-23 00:00:00,N
7.0.01,THIS IS RELEASE 01 of NIMS VERSION 7.0 PROD,2018-02-23 00:00:00,2018-05-11 00:00:00,N
7.2.00,THIS IS NIMS VERSION 7.2 PROD,2018-05-11 00:00:00,2018-11-28 00:00:00,N
8.0.00,THIS IS NIMS VERSION 8.0 PROD,2018-11-28 00:00:00,2019-07-05 00:00:00,N
8.0.01,THIS IS RELEASE 01 OF NIMS VERSION 8.0 PROD,2019-07-05 00:00:00,2019-12-13 00:00:00,N
8.0.02,THIS IS RELEASE 02 OF NIMS VERSION 8.0 PROD,2019-12-13 00:00:00,2020-07-10 00:00:00,N
8.0.03,THIS IS RELEASE 03 OF NIMS VERSION 8.0 PROD,2020-07-10 00:00:00,2021-04-30 00:00:00,N
9.0.00,THIS IS NIMS VERSION 9.0 PROD,2021-04-30 00:00:00,2021-07-16 00:00:00,N
